Solver Name,Execution Time,Memory
Minisat,732, 9569
Minisat,761, 9564
Minisat,832, 9569
Minisat,690, 9569
Minisat,704, 9569
Sat4j,703, 9569
Sat4j,762, 9569
Sat4j,741, 9569
Sat4j,772, 9569
Sat4j,731, 9569
MiniSatProver,811, 9569
MiniSatProver,992, 9569
MiniSatProver,682, 9569
MiniSatProver,691, 9569
MiniSatProver,622, 9569
CryptoMiniSatJNI,862, 9569
CryptoMiniSatJNI,731, 9569
CryptoMiniSatJNI,701, 9569
CryptoMiniSatJNI,752, 9569
CryptoMiniSatJNI,741, 9569
Glucose,852, 9569
Glucose,760, 9569
Glucose,691, 9569
Glucose,801, 9569
Glucose,763, 9569
Glucose41JNI,731, 9569
Glucose41JNI,710, 9569
Glucose41JNI,793, 9569
Glucose41JNI,740, 9569
Glucose41JNI,783, 9569
KK,773, 9569
KK,832, 9569
KK,732, 9569
KK,863, 9569
KK,844, 9569
Lingeling,612, 9569
Lingeling,851, 9569
Lingeling,702, 9569
Lingeling,751, 9569
Lingeling,720, 9569
